Order,Family,Binomial,Parental care,Dry weight,Lifetime fecundity,Egg volume
Diptera,Tabanidae,Tabanus_rubidus,No care,31.24,600,*
Diptera,Tachinidae,Cyzenis_albicans,No care,3.89,1373,*
Diptera,Tachinidae,Voria_ruralis,No care,8.36,169,*
Diptera,Tephritidae,Chaetorellia_acrolophi,No care,0.85,69,*
Diptera,Tephritidae,Terellia_virens,No care,1.03,80,*
Diptera,Tipulidae,Erioptera_lutea,No care,1.16,105,*
Diptera,Tipulidae,Tipula_flavolineata,No care,26.04,369,*
Diptera,Trypetidae,Rhagoletis_juglandis,No care,1.91,126,0.22
Embioptera,Embiidae,Monotylota_ramburi,Provisioning,1.54,80,0.7
Embioptera,Oligotomidae,Oligotoma_nigra,Provisioning,1.04,220,0.7
Ephemeroptera,Baetidae,Baetis_pumilus,No care,2.82,1104.5,*
Ephemeroptera,Ephemeridae,Hexagenia_limbata,No care,18.9,4000,*
Ephemeroptera,Heptageniidae,Ecdyonurus_fluminum,No care,4.72,1798.5,*
Ephemeroptera,Heptageniidae,Ecdyonurus_helviticus,No care,2.31,4222.5,*
Hemiptera,Acanthosomatidae,Elasmostethus_interstinctus,No care,11.98,200,2.05
Hemiptera,Acanthosomatidae,Elasmucha_grisea,Guarding,7.99,45,1.51
Hemiptera,Acanthosomatidae,Elasmucha_putoni,Guarding,25.72,49.9,*
Hemiptera,Acanthosomatidae,Elasmucha_signoreti,Guarding,5.19,33.79,*
Hemiptera,Anthocoridae,Anthocoris_confusus,No care,0.91,48.8,0.13
Hemiptera,Anthocoridae,Cimex_lectularius,No care,2.35,541,*
Hemiptera,Anthocoridae,Orius_insidiosus,No care,0.12,129,*
Hemiptera,Anthocoridae,Orius_tristicolor,No care,0.14,129,*
Hemiptera,Belostomatidae,Abedus_herberti,No care [for female],213.33,344,*
Hemiptera,Coreidae,Phyllomorpha_laciniata,No care,2.69,*,0.34
Hemiptera,Cydnidae,Parastrachia_japonensis,Provisioning,94.45,88.6,5.71
Hemiptera,Cydnidae,Sehirus_cinctus,Provisioning,5.21,285,*
Hemiptera,Lygaeidae,Geocoris_punctipes,No care,1.28,178,*
Hemiptera,Lygaeidae,Nysius_huttoni,No care,0.59,87.5,*
Hemiptera,Lygaeidae,Oncopeltus_fasciatus,No care,6.63,849,*
Hemiptera,Membracidae,Publilia_concava,Guarding,3.4,145,*
Hemiptera,Membracidae,Thalia_bimaculata,No care,35.86,28,*
Hemiptera,Membracidae,Umbonia_crassicornis,Provisioning,46.5,32.5,*
Hemiptera,Miridae,Deraeocoris_nebulosus,No care,1.32,240,0.3
Hemiptera,Miridae,Psallus_ambiguus,No care,1.65,34,*
Hemiptera,Pentatomidae,Nezara_viridula,No care,87.28,907,1.77
Hemiptera,Pentatomidae,Podisus_maculiventris,No care,18.81,300,*
Hemiptera,Reduviidae,Endochus_inornatus,No care,37.24,90.7,*
